TradingDate,CurrencyRate,BaseCurrency,TargetCurrency,Filename,LoadDate
2024-03-09,1.07381226,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-10,1.07123743,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-11,1.07171823,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-12,1.07322869,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-13,1.07384764,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-14,1.07567608,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-15,1.07897508,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-16,1.07896644,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-17,1.07696458,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-18,1.07721586,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-19,1.0799807,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-20,1.08666924,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-21,1.08566102,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-22,1.08709576,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-23,1.08707893,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-24,1.08694905,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-25,1.08780117,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-26,1.08813586,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-27,1.09052053,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-28,1.09013574,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-29,1.09056382,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-30,1.09078622,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-03-31,1.09079277,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-04-01,1.09092306,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-04-02,1.09194589,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-04-03,1.09209343,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-04-04,1.09261778,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-04-05,1.09443405,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-04-06,1.09409881,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
2024-04-07,1.09404388,AUD,NZD,../data/raw/xrates_aud_nzd_20240309_20240408_20240408020816.json,2024-04-08 02:08:16
